net,reference,symbol_pin,physical_pad,value
GND_LOGIC,U1,GND13,13,Raspberry Pi Pico 2 W
GND_LOGIC,U1,GND18,18,Raspberry Pi Pico 2 W
GND_LOGIC,U1,GND23,23,Raspberry Pi Pico 2 W
GND_LOGIC,U1,GND28,28,Raspberry Pi Pico 2 W
GND_LOGIC,U1,GND38,38,Raspberry Pi Pico 2 W
GND_LOGIC,U2,GND1,10,ISOW1412DFMR
GND_LOGIC,U2,GNDIO,6,ISOW1412DFMR
GND_LOGIC,U3,GND,5,HCPL-0700-500E
GPIO0_EXP,J3,P1,1,FREE GPIO PADS
GPIO0_EXP,U1,GP0,1,Raspberry Pi Pico 2 W
GPIO1_EXP,J3,P2,2,FREE GPIO PADS
GPIO1_EXP,U1,GP1,2,Raspberry Pi Pico 2 W
GPIO10_EXP,J3,P5,5,FREE GPIO PADS
GPIO10_EXP,U1,GP10,14,Raspberry Pi Pico 2 W
GPIO11_EXP,J3,P6,6,FREE GPIO PADS
GPIO11_EXP,U1,GP11,15,Raspberry Pi Pico 2 W
GPIO12_EXP,J3,P7,7,FREE GPIO PADS
GPIO12_EXP,U1,GP12,16,Raspberry Pi Pico 2 W
GPIO13_EXP,J3,P8,8,FREE GPIO PADS
GPIO13_EXP,U1,GP13,17,Raspberry Pi Pico 2 W
GPIO14_EXP,J3,P9,9,FREE GPIO PADS
GPIO14_EXP,U1,GP14,19,Raspberry Pi Pico 2 W
GPIO15_EXP,J3,P10,10,FREE GPIO PADS
GPIO15_EXP,U1,GP15,20,Raspberry Pi Pico 2 W
GPIO16_EXP,J3,P11,11,FREE GPIO PADS
GPIO16_EXP,U1,GP16,21,Raspberry Pi Pico 2 W
GPIO17_EXP,J3,P12,12,FREE GPIO PADS
GPIO17_EXP,U1,GP17,22,Raspberry Pi Pico 2 W
GPIO18_EXP,J3,P13,13,FREE GPIO PADS
GPIO18_EXP,U1,GP18,24,Raspberry Pi Pico 2 W
GPIO19_EXP,J3,P14,14,FREE GPIO PADS
GPIO19_EXP,U1,GP19,25,Raspberry Pi Pico 2 W
GPIO20_EXP,J3,P15,15,FREE GPIO PADS
GPIO20_EXP,U1,GP20,26,Raspberry Pi Pico 2 W
GPIO21_EXP,J3,P16,16,FREE GPIO PADS
GPIO21_EXP,U1,GP21,27,Raspberry Pi Pico 2 W
GPIO22_EXP,J3,P17,17,FREE GPIO PADS
GPIO22_EXP,U1,GP22,29,Raspberry Pi Pico 2 W
GPIO8_EXP,J3,P3,3,FREE GPIO PADS
GPIO8_EXP,U1,GP8,11,Raspberry Pi Pico 2 W
GPIO9_EXP,J3,P4,4,FREE GPIO PADS
GPIO9_EXP,U1,GP9,12,Raspberry Pi Pico 2 W
ISOW_EN_FLT,J5,P7,7,RESERVED SIGNAL TEST PADS
ISOW_EN_FLT,R3,2,2,10k 1% 0.063W 0402 Yageo RC0402FR-0710KL
ISOW_EN_FLT,U2,EN_FLT,8,ISOW1412DFMR
MIDI_DIN_PIN1_SPARE,J2,P1,1,PANEL DIN-5 MIDI IN
MIDI_DIN_PIN2_SHIELD,J2,P2,2,PANEL DIN-5 MIDI IN
MIDI_DIN_PIN3_SPARE,J2,P3,3,PANEL DIN-5 MIDI IN
MIDI_DIN_PIN4,J2,P4,4,PANEL DIN-5 MIDI IN
MIDI_DIN_PIN4,R4,1,1,220R 1% 0.1W 0603 Yageo RC0603FR-07220RL
MIDI_DIN_PIN5,J2,P5,5,PANEL DIN-5 MIDI IN
MIDI_DIN_PIN5,R5,2,2,220R 1% 0.1W 0603 Yageo RC0603FR-07220RL
MIDI_OPTO_BASE,R7,1,1,47k 1% 0.1W 0603 Yageo RC0603FR-0747KL
MIDI_OPTO_BASE,U3,VB,7,HCPL-0700-500E
MIDI_OPTO_LED_ANODE,D2,K,C,1N4148WS-E3-08
MIDI_OPTO_LED_ANODE,R4,2,2,220R 1% 0.1W 0603 Yageo RC0603FR-07220RL
MIDI_OPTO_LED_ANODE,U3,A,2,HCPL-0700-500E
MIDI_OPTO_LED_CATHODE,D2,A,A,1N4148WS-E3-08
MIDI_OPTO_LED_CATHODE,R5,1,1,220R 1% 0.1W 0603 Yageo RC0603FR-07220RL
MIDI_OPTO_LED_CATHODE,U3,K,3,HCPL-0700-500E
MIDI_RX_GPIO5,J5,P4,4,RESERVED SIGNAL TEST PADS
MIDI_RX_GPIO5,R6,2,2,4.7k 1% 0.1W 0603 Yageo RC0603FR-074K7L
MIDI_RX_GPIO5,U1,GP5,7,Raspberry Pi Pico 2 W
MIDI_RX_GPIO5,U3,VO,6,HCPL-0700-500E
NC_U2_PIN14_IN,U2,IN,14,ISOW1412DFMR
NC_U2_PIN7_OUT,U2,OUT,7,ISOW1412DFMR
NC_U3_PIN1,U3,NC1,1,HCPL-0700-500E
NC_U3_PIN4,U3,NC4,4,HCPL-0700-500E
PICO_RUN_N,SW1,P$1,1,PTS810SJM250SMTR LFS RESET (NO)
PICO_RUN_N,SW1,P$2,2,PTS810SJM250SMTR LFS RESET (NO)
PICO_RUN_N,U1,RUN,30,Raspberry Pi Pico 2 W
PICO_SMPS_EN,U1,3V3_EN,37,Raspberry Pi Pico 2 W
PICO_VSYS,U1,VSYS,39,Raspberry Pi Pico 2 W
PWR_LED_ANODE,D3,A,A,PWR GREEN Lite-On LTST-C190KGKT
PWR_LED_ANODE,R8,2,2,1k 1% 0.1W 0603 Yageo RC0603FR-071KL
VBUS_5V_USB,C7,1,1,100nF 16V 10% X7R 0402 CL05B104KO5NNNC MIDI VCC
VBUS_5V_USB,F1,1,1,1206L050YR 0.5A HOLD
VBUS_5V_USB,J6,P3,3,POWER/DMX TEST PADS
VBUS_5V_USB,U1,VBUS,40,Raspberry Pi Pico 2 W
VBUS_5V_USB,U3,VCC,8,HCPL-0700-500E
VCC_3V3_LOGIC,C1,1,1,100nF 16V 10% X7R 0402 CL05B104KO5NNNC VIO
VCC_3V3_LOGIC,J6,P1,1,POWER/DMX TEST PADS
VCC_3V3_LOGIC,R1,1,1,100k 1% 0.063W 0402 Yageo RC0402FR-07100KL
VCC_3V3_LOGIC,R3,1,1,10k 1% 0.063W 0402 Yageo RC0402FR-0710KL
VCC_3V3_LOGIC,R6,1,1,4.7k 1% 0.1W 0603 Yageo RC0603FR-074K7L
VCC_3V3_LOGIC,R8,1,1,1k 1% 0.1W 0603 Yageo RC0603FR-071KL
VCC_3V3_LOGIC,U1,3V3,36,Raspberry Pi Pico 2 W
VCC_3V3_LOGIC,U2,VIO,1,ISOW1412DFMR
VCC_5V_DMX_ISO,C6,1,1,100nF 16V 10% X7R 0402 CL05B104KO5NNNC VISOIN
VCC_5V_DMX_ISO,FB1,2,2,BLM15EX331SN1D
VCC_5V_DMX_ISO,J6,P5,5,POWER/DMX TEST PADS
VCC_5V_DMX_ISO,U2,VISOIN,16,ISOW1412DFMR
VDD_5V_ISOW_FUSED,C2,1,1,10nF 50V 10% X7R 0402 0402B103K500CT VDD <1mm
VDD_5V_ISOW_FUSED,C3,1,1,10uF 35V 10% X5R 0805 GRM21BR6YA106KE43L VDD
VDD_5V_ISOW_FUSED,C8,1,1,1uF 50V 10% X5R 0603 CL10A105KB8NNNC VDD 2-4mm
VDD_5V_ISOW_FUSED,F1,2,2,1206L050YR 0.5A HOLD
VDD_5V_ISOW_FUSED,J6,P4,4,POWER/DMX TEST PADS
VDD_5V_ISOW_FUSED,U2,VDD,9,ISOW1412DFMR
VISO_5V_CONVERTER,C4,1,1,10nF 50V 10% X7R 0402 0402B103K500CT VISOOUT <1mm
VISO_5V_CONVERTER,C5,1,1,10uF 35V 10% X5R 0805 GRM21BR6YA106KE43L VISOOUT
VISO_5V_CONVERTER,C9,1,1,1uF 50V 10% X5R 0603 CL10A105KB8NNNC VISOOUT 2-4mm
VISO_5V_CONVERTER,FB1,1,1,BLM15EX331SN1D
VISO_5V_CONVERTER,U2,MODE,13,ISOW1412DFMR
VISO_5V_CONVERTER,U2,VISOOUT,12,ISOW1412DFMR
XLR_SHELL,J1,P4,4,"PANEL XLR-5: COM,-,+,SHELL"
